#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,17.4349365234375,446.08333212147846,0.029925476202253366
200,32.242401123046875,374.6219225994574,0.029925476202253366
300,13.04681396484375,339.3644004333467,0.029925476202253366
400,-2.082183837890625,387.1964160391648,0.029925476202253366
500,17.681610107421875,258.610807164044,0.029925476202253366
600,13.710540771484375,327.90009910577356,0.029925476202253366
700,1.0889892578125,257.9657778342236,0.029925476202253366
800,-14.82373046875,259.21580072889935,0.029925476202253366
900,-10.34912109375,269.93051099017873,0.029925476202253366
1000,8.91888427734375,240.08227667974631,0.029925476202253366
1100,-17.15765380859375,272.3082217828321,0.029925476202253366
1200,-15.727996826171875,237.27490113046522,0.029925476202253366
1300,-10.43182373046875,320.67796717151714,0.029925476202253366
1400,13.0372314453125,223.50085567637092,0.029925476202253366
1500,-7.797698974609375,256.84680321515225,0.029925476202253366
1600,1.24591064453125,252.0499423280545,0.029925476202253366
1700,-2.31378173828125,236.54652522260358,0.029925476202253366
1800,-4.691558837890625,231.08025131191425,0.029925476202253366
1900,-0.3582763671875,223.26380546648102,0.029925476202253366
2000,-4.57318115234375,266.3448650288146,0.029925476202253366
2100,-5.510833740234375,286.52633369933255,0.029925476202253366
2200,-16.136993408203125,301.1113408953115,0.029925476202253366
2300,-13.118194580078125,268.5137256762486,0.029925476202253366
2400,7.136932373046875,277.79438705035693,0.029925476202253366
2500,-3.6456298828125,200.23868328113383,0.029925476202253366
2600,-9.63067626953125,221.65552991998672,0.029925476202253366
2700,-22.111663818359375,363.11499546490074,0.029925476202253366
2800,-24.5245361328125,262.38237354120713,0.029925476202253366
2900,-23.027587890625,206.24615554501722,0.029925476202253366
3000,-15.254302978515625,262.35190842849545,0.029925476202253366
3100,-2.625823974609375,215.64905873911104,0.029925476202253366
3200,4.45458984375,238.09787352277183,0.029925476202253366
3300,-14.5643310546875,202.67453771283894,0.029925476202253366
3400,-10.384033203125,287.6040004093069,0.029925476202253366
3500,-10.117645263671875,255.660109841852,0.029925476202253366
3600,-18.7442626953125,171.21088796849494,0.029925476202253366
3700,-18.876617431640625,296.59686392167816,0.029925476202253366
3800,-6.61431884765625,357.97228707954326,0.029925476202253366
3900,0.9132080078125,272.6855667699896,0.029925476202253366
4000,-2.539459228515625,271.7927644145051,0.029925476202253366
4100,3.888671875,224.96603395786366,0.029925476202253366
4200,-15.1187744140625,293.2290675386806,0.029925476202253366
4300,-0.3961181640625,249.8803047101844,0.029925476202253366
4400,-4.63031005859375,267.45380530839134,0.029925476202253366
4500,-5.53936767578125,365.8153955738921,0.029925476202253366
4600,9.152099609375,288.41051926661424,0.029925476202253366
4700,-14.379364013671875,355.4555337902293,0.029925476202253366
4800,-11.687286376953125,267.6356067793564,0.029925476202253366
4900,0.6895751953125,227.27410036765906,0.029925476202253366
5000,-18.41650390625,250.0165620261186,0.029925476202253366
5100,-7.330474853515625,249.97258658880622,0.029925476202253366
5200,2.683746337890625,158.44054115566064,0.029925476202253366
5300,3.67425537109375,198.74015094322453,0.029925476202253366
5400,-20.96978759765625,318.000463267306,0.029925476202253366
5500,-20.201446533203125,219.7293012559781,0.029925476202253366
5600,-10.88250732421875,233.63627327041527,0.029925476202253366
5700,-16.08795166015625,250.390004063412,0.029925476202253366
5800,-31.23541259765625,260.26888846582995,0.029925476202253366
5900,-19.957611083984375,262.389156587996,0.029925476202253366
6000,-11.300262451171875,289.50721328326193,0.029925476202253366
6100,-5.65673828125,147.62970030623316,0.029925476202253366
6200,-22.053009033203125,284.7107415139227,0.029925476202253366
6300,-8.307708740234375,281.08205595874176,0.029925476202253366
6400,-19.444671630859375,278.93694523475716,0.029925476202253366
6500,-25.5196533203125,215.46122849062183,0.029925476202253366
6600,-4.594879150390625,176.16421945627584,0.029925476202253366
6700,-15.130126953125,342.3032784222265,0.029925476202253366
6800,-24.50531005859375,399.28385879628854,0.029925476202253366
6900,6.414947509765625,277.08486288407147,0.029925476202253366
7000,-14.14166259765625,345.4299043590636,0.029925476202253366
7100,9.211822509765625,276.7580418139568,0.029925476202253366
7200,-4.979095458984375,241.53099691938962,0.029925476202253366
7300,-21.17401123046875,318.04136420694937,0.029925476202253366
7400,-5.962493896484375,235.51894123275545,0.029925476202253366
7500,-21.52252197265625,335.51235056675904,0.029925476202253366
7600,-17.99462890625,320.9556860030245,0.029925476202253366
7700,-19.32550048828125,248.6098436275128,0.029925476202253366
7800,-19.482147216796875,261.08777004377896,0.029925476202253366
7900,-21.16851806640625,282.6244985120218,0.029925476202253366
8000,0.27197265625,157.70420537719957,0.029925476202253366
8100,-29.4591064453125,212.78995806103075,0.029925476202253366
8200,-22.222015380859375,234.65667370998918,0.029925476202253366
8300,-14.714935302734375,279.3938254751037,0.029925476202253366
8400,-23.11004638671875,376.5037919444238,0.029925476202253366
8500,3.678802490234375,219.64063880856452,0.029925476202253366
8600,14.16748046875,234.7910498508266,0.029925476202253366
8700,-4.027069091796875,245.08029661841485,0.029925476202253366
8800,-13.69879150390625,272.1419101188822,0.029925476202253366
8900,-21.3138427734375,257.49397594319896,0.029925476202253366
9000,-9.74615478515625,267.44103403694504,0.029925476202253366
9100,1.50665283203125,324.9412763455371,0.029925476202253366
9200,-16.6898193359375,311.7596042653651,0.029925476202253366
9300,9.33367919921875,303.5689415030996,0.029925476202253366
9400,-10.163360595703125,333.5047870842537,0.029925476202253366
9500,4.352813720703125,328.41012437543316,0.029925476202253366
9600,5.597015380859375,272.9653792310945,0.029925476202253366
9700,-21.291259765625,497.8900913991139,0.029925476202253366
